,City," ""Region"""," ""Country"""," ""AirQuality"""," ""WaterPollution""",Lat,Lon
0,New York City," ""New York"""," ""United States of America""",46.81603774,49.5049505,40.7127281,-74.0060152
1,"Washington, D.C."," ""District of Columbia"""," ""United States of America""",66.12903226,49.10714286,38.8950368,-77.0365427
2,San Francisco," ""California"""," ""United States of America""",60.51401869,43.0,37.7790262,-122.419906
3,Berlin," """""," ""Germany""",62.36413043,28.61271676,52.5170365,13.3888599
4,Los Angeles," ""California"""," ""United States of America""",36.62162162,61.29943503,34.0536909,-118.242766
5,Bern," ""Canton of Bern"""," ""Switzerland""",94.31818182,12.5,46.9484742,7.4521749
6,Geneva," ""Canton of Geneva"""," ""Switzerland""",71.53846154,17.37288136,46.2017559,6.1466014
7,Zurich," ""Canton of Zurich"""," ""Switzerland""",83.80952381,10.71428571,47.3744489,8.5410422
8,Basel," """""," ""Switzerland""",81.66666667,26.92307692,47.5581077,7.5878261
9,London," ""England"""," ""United Kingdom""",37.04225352,40.71637427,51.5074456,-0.1277653
10,Cairo," ""Cairo Governorate"""," ""Egypt""",15.830721,74.35064935,30.0443879,31.2357257
11,Alexandria," ""Alexandria Governorate"""," ""Egypt""",41.03773585,71.2962963,44.83495335,8.745030418605868
12,Alexandria," ""Virginia"""," ""United States of America""",89.0625,46.15384615,44.83495335,8.745030418605868
13,Paris," ""Ile-de-France"""," ""France""",34.02439024,43.12169312,48.8534951,2.3483915
14,Boston," ""Massachusetts"""," ""United States of America""",78.23529412,32.91139241,42.3554334,-71.060511
15,Toronto," ""Ontario"""," ""Canada""",65.53468208,37.7994012,43.6534817,-79.3839347
16,Sao Paulo," ""Sao Paulo"""," ""Brazil""",24.05660377,73.71794872,-23.5506507,-46.6333824
17,Vilnius," """""," ""Lithuania""",77.24719101,20.58823529,54.6870458,25.2829111
18,Monaco," """""," ""Monaco""",28.78787879,61.36363636,43.7323492,7.4276832
19,Brussels," """""," ""Belgium""",35.81081081,44.76190476,50.8465573,4.351697
20,Poznan," ""Greater Poland Voivodeship"""," ""Poland""",33.07692308,50.42372881,52.4082663,16.9335199
21,Tashkent," """""," ""Uzbekistan""",56.4516129,49.16666667,41.3123363,69.2787079
22,Warsaw," ""Masovian Voivodeship"""," ""Poland""",27.27272727,36.01485149,52.2319581,21.0067249
23,Modena," ""Emilia-Romagna"""," ""Italy""",39.0625,50.0,44.5384728,10.935960870530739
24,Tours," """""," ""France""",84.375,6.25,47.3900474,0.6889268
25,Singapore," """""," ""Singapore""",65.87837838,24.204947,1.357107,103.8194992
26,Montreal," ""Quebec"""," ""Canada""",70.76023392,36.96319018,45.5031824,-73.5698065
27,Cambridge," ""England"""," ""United Kingdom""",69.82758621,30.55555556,52.2055314,0.1186637
28,Cologne," ""North Rhine-Westphalia"""," ""Germany""",60.71428571,27.77777778,43.7218277,0.9774958
29,Skopje," ""Greater Skopje"""," ""North Macedonia""",10.19417476,45.26315789,41.9961816,21.4319213
30,Gdynia," ""Pomeranian Voivodeship"""," ""Poland""",49.41860465,48.61111111,54.52333035,18.604027892041863
31,Szczecin," ""West Pomeranian Voivodeship"""," ""Poland""",41.37931034,53.75,53.4301818,14.5509623
32,Ljubljana," ""Ljubljana City Municipality"""," ""Slovenia""",72.16494845,17.58241758,46.0500268,14.5069289
33,Plovdiv," ""Plovdiv region"""," ""Bulgaria""",31.41025641,36.29032258,42.1418541,24.7499297
34,Sofia," ""Sofia City Province"""," ""Bulgaria""",23.62132353,40.94339623,-15.2538402,48.2562163
35,Milan," ""Lombardy"""," ""Italy""",24.39759036,39.49044586,45.4641943,9.1896346
36,Trieste," ""Friuli-Venezia Giulia"""," ""Italy""",58.87096774,29.0,45.6496485,13.7772781
37,Lodz," ""Lodz Voivodeship"""," ""Poland""",28.84615385,40.44117647,51.7687323,19.4569911
38,Villeurbanne," """""," ""France""",75.0,50.0,45.7733573,4.8868454
39,Oslo," """""," ""Norway""",74.75728155,14.17525773,59.9133301,10.7389701
40,Bonn," ""North Rhine-Westphalia"""," ""Germany""",82.8125,22.5,50.735851,7.10066
41,Katowice," ""Silesian Voivodeship"""," ""Poland""",27.77777778,48.33333333,50.2598987,19.0215852
42,Lisbon," ""Lisbon"""," ""Portugal""",64.60674157,24.85632184,38.7077507,-9.1365919
43,Rzeszow," ""Podkarpackie Voivodeship"""," ""Poland""",37.5,47.05882353,50.0374531,22.0047174
44,Dubai," ""Emirate of Dubai"""," ""United Arab Emirates""",48.87387387,39.84615385,25.2653471,55.2924914
45,Padua," ""Veneto"""," ""Italy""",29.16666667,50.0,45.4077172,11.8734455
46,Bergamo," ""Lombardy"""," ""Italy""",46.66666667,35.0,45.756655699999996,9.754219200862249
47,Venice," ""Veneto"""," ""Italy""",36.25,67.85714286,45.4371908,12.3345898
48,Rennes," """""," ""France""",62.5,35.0,48.1113387,-1.6800198
49,Lille," """""," ""France""",48.91304348,35.52631579,50.6365654,3.0635282
50,Moscow," """""," ""Russia""",41.47526502,49.72527473,55.625578,37.6063916
51,Saint Petersburg," """""," ""Russia""",43.10344828,54.8816568,59.938732,30.316229
52,Heilbronn," ""Baden-Wurttemberg"""," ""Germany""",80.0,0.0,49.142291,9.218655
53,Saginaw," ""Michigan"""," ""United States of America""",85.0,70.0,43.4200387,-83.9490365
54,Bialystok," ""Podlaskie Voivodeship"""," ""Poland""",34.52380952,52.94117647,53.132398,23.1591679
55,Nowy Sacz," ""Lesser Poland Voivodeship"""," ""Poland""",30.0,100.0,49.61030395,20.714936589668028
56,Lausanne," ""Canton of Vaud"""," ""Switzerland""",78.26086957,17.5,46.5218269,6.6327025
57,Abakan," ""Republic of Khakassia"""," ""Russia""",0.0,75.0,53.72068,91.4406019
58,Novosibirsk," ""Novosibirsk Oblast"""," ""Russia""",36.48648649,54.05405405,54.96781445,82.95159894278376
59,Yekaterinburg," ""Sverdlovsk Oblast"""," ""Russia""",27.90697674,58.33333333,56.839104,60.60825
60,Samara," ""Samara Oblast"""," ""Russia""",48.4375,51.5625,53.198627,50.113987
61,Omsk," ""Omsk Oblast"""," ""Russia""",16.17647059,48.52941176,54.991375,73.371529
62,Kazan," ""Republic of Tatarstan"""," ""Russia""",41.25,58.33333333,40.2054445,32.6813148
63,Chelyabinsk," ""Chelyabinsk Oblast"""," ""Russia""",16.66666667,70.3125,55.1598408,61.4025547
64,Ufa," ""Bashkortostan"""," ""Russia""",20.83333333,68.18181818,52.3870936,13.122814833095239
65,Volgograd," ""Volgograd Oblast"""," ""Russia""",21.66666667,59.375,48.6484138,44.384975590129905
66,Perm," ""Perm Krai"""," ""Russia""",44.44444444,50.0,58.014965,56.246723
67,Krasnoyarsk," ""Krasnoyarsk Krai"""," ""Russia""",6.617647059,49.21875,56.0090968,92.8725147
68,Beijing," """""," ""People's Republic of China""",21.36627907,70.78313253,39.9057136,116.3912972
69,Vladivostok," ""Primorsky Krai"""," ""Russia""",35.0,67.5,43.1150678,131.8855768
70,San Antonio," ""Texas"""," ""United States of America""",63.41463415,50.67567568,29.4246002,-98.4951405
